##BLOCKS= 2          																					
Plate:	Plate#1	1.3	PlateFormat	Spectrum	Absorbance	Raw	FALSE	41			350	750	10			1	12	96	1	8	None
410	20.2	0.874667	0.795667	0.223667	0.373667	0.299667	0.492667	0.668667	0.612667	0.614667	1.007667	0.648667	0.767667								
		0.381667	0.329667	0.385667	0.503667	0.455667	0.357667	0.382667	0.535667	0.401667	0.489667	0.950667	0.583667								
		0.376667	0.356667	0.352667	0.431667	0.348667	0.388667	0.423667	0.451667	0.502667	0.366667	0.496667	0.404667								
		0.353667	0.379667	0.499667	0.404667	0.603667	0.492667	0.377667	0.243667	0.275667	0.238667	0.331667	0.202667								
		0.269667	0.248667	0.285667	0.280667	0.231667	0.178667	0.361667	0.261667	0.190667	0.253667	0.268667	0.188667								
		0.275667	0.226667	0.199667	0.246667	0.229667	0.260667	0.255667	0.280667	0.297667	0.219667	0.205667	0.260667								
		0.088667	-0.018333	0.062667	-0.021333	0.026667	0.051667	-0.036333	-0.034333	-0.034333	-0.032333	-0.029333	-0.023333								
		-0.033333	-0.034333	-0.038333	-0.036333	-0.037333	-0.035333	-0.033333	-0.036333	-0.037333	-0.025333	-0.031333	-0.037333								
																					
420	20.2	0.931083	0.819083	0.247083	0.408083	0.322083	0.523083	0.709083	0.633083	0.623083	1.000083	0.642083	0.756083								
		0.369083	0.317083	0.368083	0.487083	0.435083	0.333083	0.359083	0.498083	0.369083	0.453083	0.903083	0.557083								
		0.347083	0.330083	0.327083	0.400083	0.323083	0.360083	0.393083	0.419083	0.467083	0.341083	0.467083	0.380083								
		0.328083	0.352083	0.464083	0.376083	0.561083	0.458083	0.351083	0.282083	0.312083	0.269083	0.375083	0.235083								
		0.304083	0.264083	0.325083	0.321083	0.265083	0.204083	0.408083	0.287083	0.217083	0.290083	0.304083	0.215083								
		0.293083	0.258083	0.226083	0.280083	0.264083	0.295083	0.289083	0.321083	0.340083	0.249083	0.234083	0.296083								
		0.088083	-0.017917	0.063083	-0.020917	0.026083	0.050083	-0.035917	-0.033917	-0.033917	-0.031917	-0.028917	-0.023917								
		-0.032917	-0.033917	-0.036917	-0.034917	-0.035917	-0.034917	-0.032917	-0.034917	-0.036917	-0.024917	-0.029917	-0.035917								
																					
430	20.2	0.950667	0.844667	0.257667	0.423667	0.331667	0.539667	0.717667	0.628667	0.611667	0.983667	0.621667	0.734667								
		0.351667	0.299667	0.348667	0.462667	0.410667	0.312667	0.337667	0.472667	0.344667	0.430667	0.865667	0.532667								
		0.322667	0.305667	0.302667	0.371667	0.298667	0.332667	0.363667	0.388667	0.432667	0.315667	0.437667	0.356667								
		0.302667	0.325667	0.430667	0.347667	0.520667	0.424667	0.324667	0.299667	0.338667	0.290667	0.403667	0.250667								
		0.328667	0.297667	0.351667	0.355667	0.287667	0.222667	0.436667	0.312667	0.237667	0.314667	0.330667	0.232667								
		0.318667	0.276667	0.245667	0.302667	0.282667	0.319667	0.312667	0.344667	0.364667	0.269667	0.255667	0.318667								
		0.088667	-0.018333	0.062667	-0.021333	0.024667	0.049667	-0.035333	-0.033333	-0.033333	-0.031333	-0.028333	-0.024333								
